"Party","Page Name","Page ID"
"CU","Christenunie Schouwen-Duiveland","210489785733826"
"CU","Christenunie Steenwijkerland","1424610017761878"
"CU","Christenunie Teylingen","473659316075466"
"CU","Christenunie Wierden-Enter","235038133317658"
"CU","Christenunie Zaanstad","213606115449507"
"CU","Christenunie-SGP Bronckhorst","259128871282317"
"CU","Christenunie-SGP Leidschendam-Voorburg","290195367795319"
"CU","Eppo Bruins","100321288229672"
"CU","Frank Visser","101861521923916"
"CU","Gert-Jan Segers","147772805659767"
"CU","Joël Voordewind","1142077739171588"
"CU","Mirjam Bikker","322996051644799"
"CU","Nicki Kappel - ChristenUnie ","103367516032946"
"CU","PerspectieF, ChristenUnie-jongeren","209648345740233"
"CU","SGP ChristenUnie Barendrecht","1561545797252638"
"CU","SGP ChristenUnie Goes","100881570041931"
"CU","SGPChristenUnie HendrikIdoAmbacht","150109061829071"
"CU","Sgp-ChristenUnie Borsele","749214628538049"
"CU","Wetenschappelijk Instituut ChristenUnie","152432188110990"
"D66","Anita Pannebakker D66","581269312322294"
"D66","Anne-Marijke Podt Kandidaat Tweede Kamer D66","515445868547714"
"D66","Bram Talman - D66 Gouda, Lijst 1, plek 7,","100475215945063"
"D66","Carline van Breugel, #32","103171544945884"
"D66","D66","52985377549"
"D66","D66  gemeente Steenbergen","331186817021149"
"D66","D66 's-Hertogenbosch","131158970298702"
"D66","D66 - Rhenen","151043172169156"
"D66","D66 Aalten-Dinxperlo","1248801595203744"
"D66","D66 Alkmaar","1482805898652315"
"D66","D66 Almere","186370224739032"
"D66","D66 Amersfoort","77106680798"
"D66","D66 Amsterdam","290810577595982"
"D66","D66 Arnhem","215764668311"
"D66","D66 Beekdaelen","1970145503263766"
"D66","D66 Best","1658464827532793"
"D66","D66 Beverwijk","168568289895914"
"D66","D66 Blaricum","522742854726543"
"D66","D66 Bloemendaal","466120763493964"
"D66","D66 Bodegraven-Reeuwijk","109119101727154"
"D66","D66 Bommelerwaard","359300587500364"
"D66","D66 Borger-Odoorn","203415826518558"
"D66","D66 Borsele","1352620641467954"
"D66","D66 Boxtel","628289240576959"
